trial	deck	deckCopy	gain	loss	subjID
1	2	2	100	0	102
2	2	2	100	0	102
3	2	2	100	0	102
4	2	2	100	0	102
5	2	2	100	0	102
6	2	2	100	0	102
7	2	2	100	0	102
8	2	2	100	0	102
9	2	2	100	1250	102
10	1	1	100	0	102
11	1	1	100	0	102
12	1	1	100	150	102
13	3	3	50	0	102
14	4	4	50	0	102
15	1	1	100	0	102
16	1	1	100	300	102
17	3	3	50	0	102
18	3	3	50	50	102
19	4	4	50	0	102
20	4	4	50	0	102
21	4	4	50	0	102
22	4	4	50	0	102
23	4	4	50	0	102
24	4	4	50	0	102
25	4	4	50	0	102
26	4	4	50	0	102
27	1	1	100	0	102
28	4	4	50	250	102
29	1	1	100	200	102
30	4	4	50	0	102
31	4	4	50	0	102
32	4	4	50	0	102
33	4	4	50	0	102
34	4	4	50	0	102
35	1	1	100	0	102
36	4	4	50	0	102
37	4	4	50	0	102
38	4	4	50	0	102
39	4	4	50	0	102
40	4	4	50	250	102
41	1	1	100	250	102
42	4	4	50	0	102
43	4	4	50	0	102
44	4	4	50	0	102
45	4	4	50	0	102
46	4	4	50	0	102
47	4	4	50	0	102
48	4	4	50	0	102
49	4	4	50	0	102
50	4	4	50	250	102
51	1	1	100	350	102
52	4	4	50	0	102
53	4	4	50	0	102
54	4	4	50	0	102
55	4	4	50	0	102
56	4	4	50	0	102
57	4	4	50	250	102
58	1	1	100	0	102
59	4	4	50	0	102
60	4	4	50	0	102
61	4	4	50	0	102
62	4	4	50	0	102
63	4	4	50	0	102
64	4	4	50	0	102
65	4	4	50	0	102
66	4	4	50	0	102
67	4	4	50	0	102
68	4	4	50	0	102
69	4	4	50	0	102
70	4	4	50	0	102
71	1	1	100	350	102
72	4	4	50	0	102
73	4	4	50	0	102
74	4	4	50	250	102
75	4	4	50	0	102
76	4	4	50	0	102
77	4	4	50	0	102
78	4	4	50	0	102
79	4	4	50	0	102
80	4	4	50	0	102
81	4	4	50	0	102
82	4	4	50	0	102
83	4	4	50	0	102
84	4	4	50	250	102
85	4	4	50	0	102
86	4	4	50	0	102
87	4	4	50	0	102
88	4	4	50	0	102
89	4	4	50	0	102
90	4	4	50	0	102
91	4	4	50	0	102
92	4	4	50	0	102
93	4	4	50	250	102
94	4	4	50	0	102
95	4	4	50	0	102
1	1	1	100	0	103
2	2	2	100	0	103
3	3	3	50	0	103
4	2	2	100	0	103
5	2	2	100	0	103
6	2	2	100	0	103
7	2	2	100	0	103
8	2	2	100	0	103
9	2	2	100	0	103
10	2	2	100	0	103
11	2	2	100	1250	103
12	2	2	100	0	103
13	3	3	50	0	103
14	4	4	50	0	103
15	4	4	50	0	103
16	4	4	50	0	103
17	4	4	50	0	103
18	4	4	50	0	103
19	3	3	50	50	103
20	3	3	50	0	103
21	1	1	100	0	103
22	1	1	100	150	103
23	1	1	100	0	103
24	3	3	50	50	103
25	2	2	100	0	103
26	2	2	100	0	103
27	2	2	100	0	103
28	1	1	100	300	103
29	1	1	100	0	103
30	1	1	100	200	103
31	4	4	50	0	103
32	4	4	50	0	103
33	4	4	50	0	103
34	1	1	100	0	103
35	2	2	100	1250	103
36	2	2	100	0	103
37	1	1	100	250	103
38	1	1	100	350	103
39	3	3	50	0	103
40	1	1	100	0	103
41	1	1	100	350	103
42	4	4	50	0	103
43	3	3	50	50	103
44	4	4	50	250	103
45	4	4	50	0	103
46	4	4	50	0	103
47	2	2	100	0	103
48	4	4	50	0	103
49	2	2	100	0	103
50	2	2	100	0	103
51	2	2	100	0	103
52	2	2	100	0	103
53	1	1	100	0	103
54	1	1	100	250	103
55	1	1	100	200	103
56	4	4	50	0	103
57	4	4	50	0	103
58	4	4	50	0	103
59	4	4	50	0	103
60	4	4	50	0	103
61	4	4	50	0	103
62	1	1	100	0	103
63	2	2	100	1250	103
64	1	1	100	300	103
65	1	1	100	150	103
66	1	1	100	0	103
67	4	4	50	250	103
68	4	4	50	0	103
69	2	2	100	0	103
70	4	4	50	0	103
71	3	3	50	0	103
72	4	4	50	0	103
73	2	2	100	0	103
74	2	2	100	0	103
75	1	1	100	0	103
76	1	1	100	0	103
77	4	4	50	0	103
78	4	4	50	0	103
79	4	4	50	0	103
80	4	4	50	0	103
81	4	4	50	0	103
82	4	4	50	250	103
83	4	4	50	0	103
84	4	4	50	0	103
85	3	3	50	50	103
86	3	3	50	50	103
87	1	1	100	300	103
88	1	1	100	0	103
89	1	1	100	350	103
90	2	2	100	0	103
91	2	2	100	0	103
92	3	3	50	0	103
93	4	4	50	0	103
94	4	4	50	0	103
95	3	3	50	25	103
1	3	3	50	0	104
2	4	4	50	0	104
3	3	3	50	0	104
4	2	2	100	0	104
5	2	2	100	0	104
6	1	1	100	0	104
7	1	1	100	0	104
8	1	1	100	150	104
9	1	1	100	0	104
10	2	2	100	0	104
11	2	2	100	0	104
12	2	2	100	0	104
13	2	2	100	0	104
14	2	2	100	0	104
15	2	2	100	0	104
16	2	2	100	1250	104
17	2	2	100	0	104
18	3	3	50	50	104
19	3	3	50	0	104
20	3	3	50	50	104
21	4	4	50	0	104
22	2	2	100	0	104
23	1	1	100	300	104
24	1	1	100	0	104
25	2	2	100	0	104
26	1	1	100	200	104
27	1	1	100	0	104
28	2	2	100	0	104
29	2	2	100	1250	104
30	4	4	50	0	104
31	2	2	100	0	104
32	4	4	50	0	104
33	3	3	50	0	104
34	4	4	50	0	104
35	4	4	50	0	104
36	4	4	50	0	104
37	4	4	50	0	104
38	2	2	100	0	104
39	2	2	100	0	104
40	2	2	100	0	104
41	2	2	100	0	104
42	4	4	50	0	104
43	4	4	50	250	104
44	4	4	50	0	104
45	4	4	50	0	104
46	3	3	50	50	104
47	3	3	50	0	104
48	4	4	50	0	104
49	2	2	100	0	104
50	4	4	50	0	104
51	2	2	100	1250	104
52	4	4	50	0	104
53	2	2	100	0	104
54	2	2	100	0	104
55	2	2	100	0	104
56	4	4	50	0	104
57	4	4	50	0	104
58	4	4	50	0	104
59	4	4	50	0	104
60	4	4	50	250	104
61	4	4	50	0	104
62	4	4	50	0	104
63	4	4	50	0	104
64	3	3	50	50	104
65	4	4	50	0	104
66	2	2	100	0	104
67	2	2	100	0	104
68	1	1	100	250	104
69	4	4	50	0	104
70	2	2	100	0	104
71	4	4	50	0	104
72	2	2	100	0	104
73	4	4	50	0	104
74	4	4	50	0	104
75	4	4	50	250	104
76	2	2	100	0	104
77	2	2	100	0	104
78	2	2	100	0	104
79	4	4	50	0	104
80	1	1	100	350	104
81	1	1	100	0	104
82	1	1	100	350	104
83	3	3	50	50	104
84	4	4	50	0	104
85	2	2	100	1250	104
86	2	2	100	0	104
87	2	2	100	0	104
88	2	2	100	0	104
89	4	4	50	0	104
90	4	4	50	0	104
91	4	4	50	0	104
92	4	4	50	250	104
93	4	4	50	0	104
94	4	4	50	0	104
95	4	4	50	0	104
1	4	4	50	0	108
2	3	3	50	0	108
3	1	1	100	0	108
4	1	1	100	0	108
5	1	1	100	150	108
6	2	2	100	0	108
7	2	2	100	0	108
8	3	3	50	0	108
9	2	2	100	0	108
10	2	2	100	0	108
11	4	4	50	0	108
12	2	2	100	0	108
13	4	4	50	0	108
14	4	4	50	0	108
15	4	4	50	0	108
16	2	2	100	0	108
17	2	2	100	0	108
18	2	2	100	0	108
19	2	2	100	1250	108
20	2	2	100	0	108
21	1	1	100	0	108
22	1	1	100	300	108
23	1	1	100	0	108
24	2	2	100	0	108
25	2	2	100	0	108
26	4	4	50	0	108
27	4	4	50	0	108
28	4	4	50	0	108
29	3	3	50	50	108
30	4	4	50	0	108
31	2	2	100	0	108
32	2	2	100	1250	108
33	4	4	50	250	108
34	4	4	50	0	108
35	2	2	100	0	108
36	4	4	50	0	108
37	4	4	50	0	108
38	2	2	100	0	108
39	2	2	100	0	108
40	4	4	50	0	108
41	4	4	50	0	108
42	4	4	50	0	108
43	4	4	50	0	108
44	4	4	50	0	108
45	4	4	50	0	108
46	4	4	50	250	108
47	3	3	50	0	108
48	4	4	50	0	108
49	2	2	100	0	108
50	2	2	100	0	108
51	2	2	100	0	108
52	1	1	100	200	108
53	2	2	100	1250	108
54	1	1	100	0	108
55	2	2	100	0	108
56	4	4	50	0	108
57	4	4	50	0	108
58	2	2	100	0	108
59	4	4	50	0	108
60	4	4	50	0	108
61	4	4	50	0	108
62	4	4	50	0	108
63	4	4	50	0	108
64	3	3	50	50	108
65	4	4	50	250	108
66	4	4	50	0	108
67	3	3	50	0	108
68	2	2	100	0	108
69	4	4	50	0	108
70	2	2	100	0	108
71	4	4	50	0	108
72	1	1	100	250	108
73	4	4	50	0	108
74	2	2	100	0	108
75	2	2	100	0	108
76	4	4	50	0	108
77	4	4	50	250	108
78	2	2	100	0	108
79	1	1	100	350	108
80	2	2	100	0	108
81	2	2	100	0	108
82	2	2	100	0	108
83	2	2	100	1250	108
84	2	2	100	0	108
85	1	1	100	0	108
86	2	2	100	0	108
87	3	3	50	50	108
88	3	3	50	0	108
89	3	3	50	50	108
90	3	3	50	50	108
91	3	3	50	0	108
92	3	3	50	25	108
93	4	4	50	0	108
94	4	4	50	0	108
95	4	4	50	0	108
1	1	1	100	0	110
2	2	2	100	0	110
3	3	3	50	0	110
4	4	4	50	0	110
5	3	3	50	0	110
6	1	1	100	0	110
7	1	1	100	150	110
8	2	2	100	0	110
9	2	2	100	0	110
10	2	2	100	0	110
11	3	3	50	50	110
12	4	4	50	0	110
13	2	2	100	0	110
14	2	2	100	0	110
15	4	4	50	0	110
16	4	4	50	0	110
17	4	4	50	0	110
18	2	2	100	0	110
19	2	2	100	0	110
20	2	2	100	1250	110
21	2	2	100	0	110
22	1	1	100	0	110
23	1	1	100	300	110
24	2	2	100	0	110
25	1	1	100	0	110
26	4	4	50	0	110
27	4	4	50	0	110
28	4	4	50	0	110
29	3	3	50	0	110
30	3	3	50	50	110
31	4	4	50	0	110
32	3	3	50	0	110
33	4	4	50	250	110
34	4	4	50	0	110
35	4	4	50	0	110
36	4	4	50	0	110
37	4	4	50	0	110
38	4	4	50	0	110
39	4	4	50	0	110
40	4	4	50	0	110
41	3	3	50	50	110
42	4	4	50	0	110
43	2	2	100	0	110
44	2	2	100	0	110
45	1	1	100	200	110
46	2	2	100	1250	110
47	2	2	100	0	110
48	4	4	50	0	110
49	4	4	50	250	110
50	4	4	50	0	110
51	4	4	50	0	110
52	4	4	50	0	110
53	3	3	50	0	110
54	4	4	50	0	110
55	4	4	50	0	110
56	4	4	50	0	110
57	4	4	50	0	110
58	4	4	50	0	110
59	4	4	50	250	110
60	4	4	50	0	110
61	3	3	50	50	110
62	4	4	50	0	110
63	4	4	50	0	110
64	2	2	100	0	110
65	2	2	100	0	110
66	2	2	100	0	110
67	4	4	50	0	110
68	4	4	50	0	110
69	3	3	50	50	110
