trial	deck	deckCopy	gain	loss	subjID
1	4	4	50	0	201
2	2	2	100	0	201
3	1	1	100	0	201
4	3	3	50	0	201
5	2	2	100	0	201
6	1	1	100	0	201
7	2	2	100	0	201
8	1	1	100	150	201
9	2	2	100	0	201
10	3	3	50	0	201
11	2	2	100	0	201
12	2	2	100	0	201
13	2	2	100	0	201
14	2	2	100	0	201
15	2	2	100	1250	201
16	4	4	50	0	201
17	3	3	50	50	201
18	1	1	100	0	201
19	1	1	100	300	201
20	3	3	50	0	201
21	2	2	100	0	201
22	3	3	50	50	201
23	2	2	100	0	201
24	2	2	100	0	201
25	4	4	50	0	201
26	2	2	100	0	201
27	2	2	100	1250	201
28	2	2	100	0	201
29	2	2	100	0	201
30	4	4	50	0	201
31	2	2	100	0	201
32	4	4	50	0	201
33	2	2	100	0	201
34	2	2	100	0	201
35	4	4	50	0	201
36	2	2	100	0	201
37	4	4	50	0	201
38	4	4	50	0	201
39	2	2	100	1250	201
40	1	1	100	0	201
41	1	1	100	200	201
42	4	4	50	0	201
43	4	4	50	250	201
44	2	2	100	0	201
45	3	3	50	0	201
46	3	3	50	50	201
47	2	2	100	0	201
48	4	4	50	0	201
49	2	2	100	0	201
50	1	1	100	0	201
51	2	2	100	0	201
52	4	4	50	0	201
53	4	4	50	0	201
54	2	2	100	0	201
55	1	1	100	250	201
56	4	4	50	0	201
57	2	2	100	0	201
58	1	1	100	350	201
59	2	2	100	0	201
60	4	4	50	0	201
61	2	2	100	0	201
62	1	1	100	0	201
63	2	2	100	0	201
64	4	4	50	0	201
65	2	2	100	0	201
66	4	4	50	0	201
67	1	1	100	350	201
68	4	4	50	0	201
69	2	2	100	1250	201
70	2	2	100	0	201
71	4	4	50	0	201
72	1	1	100	0	201
73	2	2	100	0	201
74	2	2	100	0	201
75	1	1	100	250	201
76	2	2	100	0	201
77	4	4	50	250	201
78	2	2	100	0	201
79	4	4	50	0	201
80	4	4	50	0	201
81	2	2	100	0	201
82	1	1	100	200	201
83	2	2	100	0	201
84	4	4	50	0	201
85	2	2	100	0	201
86	4	4	50	0	201
87	4	4	50	0	201
88	4	4	50	0	201
89	4	4	50	0	201
90	1	1	100	0	201
91	3	3	50	0	201
92	4	4	50	0	201
93	3	3	50	50	201
94	4	4	50	250	201
95	1	1	100	300	201
1	1	1	100	0	205
2	4	4	50	0	205
3	2	2	100	0	205
4	3	3	50	0	205
5	2	2	100	0	205
6	1	1	100	0	205
7	2	2	100	0	205
8	1	1	100	150	205
9	4	4	50	0	205
10	1	1	100	0	205
11	2	2	100	0	205
12	4	4	50	0	205
13	1	1	100	300	205
14	4	4	50	0	205
15	3	3	50	0	205
16	4	4	50	0	205
17	2	2	100	0	205
18	2	2	100	0	205
19	1	1	100	0	205
20	1	1	100	200	205
21	4	4	50	0	205
22	4	4	50	0	205
23	2	2	100	0	205
24	3	3	50	50	205
25	2	2	100	0	205
26	4	4	50	0	205
27	2	2	100	1250	205
28	4	4	50	0	205
29	1	1	100	0	205
30	2	2	100	0	205
31	1	1	100	250	205
32	4	4	50	250	205
33	2	2	100	0	205
34	3	3	50	0	205
35	2	2	100	0	205
36	2	2	100	0	205
37	3	3	50	50	205
38	4	4	50	0	205
39	1	1	100	350	205
40	2	2	100	1250	205
41	1	1	100	0	205
42	4	4	50	0	205
43	1	1	100	350	205
44	4	4	50	0	205
45	2	2	100	0	205
46	4	4	50	0	205
47	3	3	50	0	205
48	2	2	100	0	205
49	4	4	50	0	205
50	1	1	100	0	205
51	4	4	50	0	205
52	2	2	100	0	205
53	1	1	100	250	205
54	2	2	100	0	205
55	4	4	50	0	205
56	2	2	100	0	205
57	3	3	50	50	205
58	2	2	100	0	205
59	2	2	100	1250	205
60	4	4	50	0	205
61	1	1	100	200	205
62	3	3	50	0	205
63	2	2	100	0	205
64	4	4	50	0	205
65	2	2	100	0	205
66	4	4	50	250	205
67	3	3	50	50	205
68	2	2	100	0	205
69	1	1	100	0	205
70	4	4	50	0	205
71	2	2	100	0	205
72	3	3	50	50	205
73	1	1	100	300	205
74	2	2	100	0	205
75	4	4	50	0	205
76	2	2	100	0	205
77	4	4	50	0	205
78	2	2	100	0	205
79	2	2	100	0	205
80	4	4	50	0	205
81	1	1	100	150	205
82	4	4	50	0	205
83	2	2	100	0	205
84	4	4	50	0	205
85	3	3	50	0	205
86	2	2	100	0	205
87	4	4	50	0	205
88	2	2	100	1250	205
89	1	1	100	0	205
90	4	4	50	0	205
91	2	2	100	0	205
92	1	1	100	0	205
93	2	2	100	0	205
94	4	4	50	250	205
95	3	3	50	25	205
1	3	3	50	0	206
2	1	1	100	0	206
3	4	4	50	0	206
4	2	2	100	0	206
5	1	1	100	0	206
6	2	2	100	0	206
7	1	1	100	150	206
8	2	2	100	0	206
9	1	1	100	0	206
10	2	2	100	0	206
11	3	3	50	0	206
12	1	1	100	300	206
13	2	2	100	0	206
14	2	2	100	0	206
15	2	2	100	0	206
16	2	2	100	0	206
17	2	2	100	1250	206
18	1	1	100	0	206
19	2	2	100	0	206
20	2	2	100	0	206
21	2	2	100	0	206
22	2	2	100	0	206
23	2	2	100	1250	206
24	1	1	100	200	206
25	4	4	50	0	206
26	3	3	50	50	206
27	4	4	50	0	206
28	1	1	100	0	206
29	1	1	100	250	206
30	2	2	100	0	206
31	2	2	100	0	206
32	2	2	100	0	206
33	1	1	100	350	206
34	2	2	100	0	206
35	2	2	100	0	206
36	2	2	100	0	206
37	2	2	100	1250	206
38	1	1	100	0	206
39	3	3	50	0	206
40	1	1	100	350	206
41	2	2	100	0	206
42	2	2	100	0	206
43	2	2	100	0	206
44	2	2	100	0	206
45	2	2	100	0	206
46	1	1	100	0	206
47	2	2	100	0	206
48	1	1	100	250	206
49	2	2	100	0	206
50	4	4	50	0	206
51	3	3	50	50	206
52	1	1	100	200	206
53	2	2	100	0	206
54	2	2	100	0	206
55	1	1	100	0	206
56	2	2	100	0	206
57	1	1	100	300	206
58	2	2	100	1250	206
59	1	1	100	150	206
60	1	1	100	0	206
61	2	2	100	0	206
62	2	2	100	0	206
63	2	2	100	0	206
64	2	2	100	0	206
65	2	2	100	0	206
66	3	3	50	0	206
67	3	3	50	50	206
68	2	2	100	0	206
69	2	2	100	0	206
70	1	1	100	0	206
71	2	2	100	0	206
72	1	1	100	0	206
73	2	2	100	0	206
74	1	1	100	300	206
75	2	2	100	0	206
76	1	1	100	0	206
77	3	3	50	0	206
78	4	4	50	0	206
79	3	3	50	50	206
80	2	2	100	0	206
81	2	2	100	0	206
82	2	2	100	0	206
83	2	2	100	0	206
84	2	2	100	0	206
85	2	2	100	0	206
86	2	2	100	1250	206
87	1	1	100	350	206
88	4	4	50	0	206
89	4	4	50	0	206
90	2	2	100	0	206
91	2	2	100	0	206
92	2	2	100	0	206
93	2	2	100	0	206
94	2	2	100	1250	206
95	2	2	100	0	206
1	1	1	100	0	210
2	4	4	50	0	210
3	3	3	50	0	210
4	2	2	100	0	210
5	1	1	100	0	210
6	2	2	100	0	210
7	1	1	100	150	210
8	2	2	100	0	210
9	4	4	50	0	210
10	2	2	100	0	210
11	3	3	50	0	210
12	2	2	100	0	210
13	4	4	50	0	210
14	2	2	100	0	210
15	2	2	100	0	210
16	2	2	100	0	210
17	2	2	100	1250	210
18	3	3	50	50	210
19	2	2	100	0	210
20	1	1	100	0	210
21	2	2	100	0	210
22	2	2	100	0	210
23	4	4	50	0	210
24	1	1	100	300	210
25	2	2	100	0	210
26	4	4	50	0	210
27	3	3	50	0	210
28	2	2	100	1250	210
29	1	1	100	0	210
30	4	4	50	0	210
31	2	2	100	0	210
32	2	2	100	0	210
33	1	1	100	200	210
34	1	1	100	0	210
35	3	3	50	50	210
36	1	1	100	250	210
37	2	2	100	0	210
38	4	4	50	0	210
39	1	1	100	350	210
40	4	4	50	0	210
41	4	4	50	0	210
42	4	4	50	250	210
43	2	2	100	0	210
44	1	1	100	0	210
45	4	4	50	0	210
46	1	1	100	350	210
47	3	3	50	0	210
48	4	4	50	0	210
49	1	1	100	0	210
50	1	1	100	250	210
51	2	2	100	0	210
52	4	4	50	0	210
53	3	3	50	50	210
54	4	4	50	0	210
55	2	2	100	0	210
56	1	1	100	200	210
57	4	4	50	0	210
58	3	3	50	0	210
59	1	1	100	0	210
60	4	4	50	0	210
61	2	2	100	1250	210
62	3	3	50	50	210
63	1	1	100	300	210
64	4	4	50	0	210
65	4	4	50	0	210
66	3	3	50	50	210
67	4	4	50	0	210
68	1	1	100	150	210
69	1	1	100	0	210
70	4	4	50	250	210
71	2	2	100	0	210
72	3	3	50	0	210
73	4	4	50	0	210
74	1	1	100	0	210
75	4	4	50	0	210
76	4	4	50	0	210
77	2	2	100	0	210
78	3	3	50	25	210
79	4	4	50	0	210
80	4	4	50	0	210
81	1	1	100	0	210
82	2	2	100	0	210
83	3	3	50	75	210
84	4	4	50	0	210
85	1	1	100	300	210
86	2	2	100	0	210
87	4	4	50	0	210
88	3	3	50	0	210
89	4	4	50	0	210
90	1	1	100	0	210
91	1	1	100	350	210
92	4	4	50	250	210
93	4	4	50	0	210
94	2	2	100	0	210
95	2	2	100	0	210
1	1	1	100	0	214
2	2	2	100	0	214
3	2	2	100	0	214
4	2	2	100	0	214
5	3	3	50	0	214
6	4	4	50	0	214
7	2	2	100	0	214
8	1	1	100	0	214
9	2	2	100	0	214
10	1	1	100	150	214
11	2	2	100	0	214
12	3	3	50	0	214
13	1	1	100	0	214
14	2	2	100	0	214
15	4	4	50	0	214
16	2	2	100	0	214
17	3	3	50	50	214
18	2	2	100	1250	214
19	2	2	100	0	214
20	1	1	100	300	214
21	2	2	100	0	214
